,lot_number,miles,transmission,fuel,drive,name,make,year,auction
0,66579484,129.999,Automatic,Gas,Front-wheel,2018 HYUNDAI ELANTRA SEL,Hyundai,2018,MS - GRENADA
1,44525704,140.411,Automatic,Gas,Front-wheel,2016 FORD ESCAPE SE,Ford,2016,TX - HOUSTON
2,51071234,123.593,Automatic,Gas,Rear-wheel,2020 CHEVROLET TAHOE C1500 LS,Chevrolet,2020,AL - BIRMINGHAM
3,53175864,18.593,Automatic,Gas,Rear-wheel,2024 BMW X5 SDRIVE 40I,BMW,2024,FL - MIAMI CENTRAL
4,56419514,31.191,Automatic,Gas,Front-wheel,2020 TOYOTA COROLLA LE,Toyota,2020,FL - TAMPA SOUTH
5,57783994,21.268,Automatic,Gas,All,2024 BMW X6 XDRIVE40I,BMW,2024,CA - VAN NUYS
6,60530624,74.941,Automatic,Gas,Rear-wheel,2021 CHEVROLET TAHOE C1500 PREMIER,Chevrolet,2021,NJ - GLASSBORO WEST
7,62651474,116.136,Automatic,Gas,All,2017 FORD FUSION SE,Ford,2017,PA - YORK HAVEN
8,63725144,15.571,Automatic,Gas,All,2024 BMW 530 XI,BMW,2024,FL - MIAMI CENTRAL
9,63725164,17.825,Automatic,Gas,Rear-wheel,2023 BMW 740 I,BMW,2023,CA - VAN NUYS
10,63725204,13.592,Automatic,Electric,Rear-wheel,2024 BMW I4 EDRIVE 40,BMW,2024,CA - VAN NUYS
11,63931194,28.596,Automatic,Gas,All,2024 BMW 430XI,BMW,2024,CA - VAN NUYS
12,64120484,17.352,Automatic,Gas,Rear-wheel,2024 BMW 740 I,BMW,2024,CA - VAN NUYS
13,64120614,41.996,Automatic,Gas,Rear-wheel,2023 BMW X5 SDRIVE 40I,BMW,2023,CA - VAN NUYS
14,64520784,27.814,Automatic,Gas,All,2024 MAZDA CX-90 PREFERRED,Mazda,2024,CA - VAN NUYS
15,64671414,12.158,Automatic,Gas,Front-wheel,2021 NISSAN ROGUE SV,Nissan,2021,GA - SAVANNAH
16,64718114,23.947,Automatic,Gas,All,2023 BMW 530 XI,BMW,2023,CA - VAN NUYS
17,64718154,22.786,Automatic,Gas,Rear-wheel,2023 BMW 228I,BMW,2023,CA - VAN NUYS
